Once again Mr. Costner has dragged out a movie for far longer than necessary. Aside from the terrific sea rescue sequences of which there are very few I just did not care about any of the characters. Most of us have ghosts in the closet and Costner's character are realized early on and then forgotten until much later by which time I did not care. The character we should really care about is a very cocky overconfident Ashton Kutcher. The problem is he comes off as kid who thinks he's better than anyone else around him and shows no signs of a cluttered closet. His only obstacle appears to be winning over Costner. Finally when we are well past the half way point of this stinker Costner tells us all about Kutcher's ghosts. We are told why Kutcher is driven to be the best with no prior inkling or foreshadowing. No magic here it was all I could do to keep from turning it off an hour in.,0
"Young Elijah Wood and Joseph Mazzello are outstanding in this excellent film about two boys who have promised to ""take care of their mother"" and how they cope when their new stepfather begins beating the younger boy. The supporting cast around the boys is top-notch as well. The script really gets inside the mind and heart of an imaginative child. It's hard to believe Wood could grow up to look anything like Tom Hanks but that's nothing new in Hollywood. That's honestly my only criticism of the film.",1
"You might think that a show about regular teens with superpowers would be interesting but it's far from that. Take the concept for example: the main character(s) have a big secret that they hide from they're peers. It's just like Hannah Montana and That's So Raven. Next the acting is just average. Selena Gomez seems to be half asleep through many scenes. Lastly the jokes are either cliché or boring. If they're not using they're colorful yet strange dialog to make us ""laugh"" they are throwing various props around the room. I really wish this show would use more original and entertaining material. In conclusion Wisards of Waverly Place is a disappointment.",0
"You got it right! Bobby was Mike's imaginary friend through the whole movie even at the beginning when on their way to California. His mother knew of Bobby and didn't discourage Mike leaning on Bobby since imaginary friends are common with young children.<br /><br />That's why they both got stomach aches at the same time. That's why the boys' were so close.<br /><br />At the end Mike was letting Bobby go. The ""King"" was arrested. Mike could go on without Bobby. It's also why Mike's mother didn't seem disturbed when Mike received the postcard (Mike had written & mailed) from Bobby the Ol' West tourist stop and the other postcards from all over the world. You noticed Mike's mother turned the first card over and looked at the postmark. What a great mom doing the best she could in the late sixties.<br /><br />A 9 out of 10 for me. Brought back memories...",1
You could have put the characters on the island for any reason at all and had the same movie. The first one had an original story the second stole one from King Kong and in the end (I hope) of this trilogy the story seemed to have been bypassed altogether. Drop some people on an island full of dinosaurs and watch them run for their lives. That was about all there was to it. The special effects were decent but not worth 8 dollars. If you have a discount theatre in your local area wait and see it for a buck. I wouldn't even bother renting it. That would be too much money for this unthrilling thriller.,0
"You can tell that this is the first offering by the Director (who also wrote it) but you can also see the potential this guy has. This is an obviously low budget film in the spirit of Boondock Saints. Of course Boondock Saints came out a few years after this so you could look at this as a diamond in need of some polish. The acting was good - if you're looking for DeNiro or Michael Madsen in a crime drama remember that these are young guys playing young guys trying to be criminals. They're not going to be ""supercool"" (tm) like some of the veterans. I would have love to have seen Justin Pagel (Joe - the main character) go on to make more movies - he was great in this. Good movie - 3 stars out of 5.",1
"Yesterday I watched this tv production and I was very disappointed.<br /><br />I didn't have big expectations when it was a tv production but the complete movie was pain with no ending. I felt it lasted for 3 hours but it was just me who was bored to death. Every minute was a long struggle and I really fought hard to stay away from the ""turn off""-switch.<br /><br />The movie is about a doctor (Dr. Verghese) who gets a lot of AIDS-patients and most of them die during the movie. It is hard for Verghese to live with so his family gets punished with his frustrations. However this movie has problems showing both sides it mostly focuses on his conversations with the patients and sometimes we see flicks from his home but we don't get much. The difficulties to show more than one part of Verghese's life doesn't get any better with the poor acting from Naveen Andrews a man I (hopefully) can't see in any good future movies.<br /><br />I believe it got 76 because of the subject (taboo?) but I'm sure that there are better movies about this subject on the market. Stay away from this movie it does not deserve more than 3/10.<br /><br />",0
Yes. Bam cried a couple times and so did Englund. And most probably you will too. The whole cast is back in action and Knoxville has stepped up to become the true leader of this gang of messed-up retards (I mean this in the best possible way). I first thought maybe Bam or Steve-O were the main go-to guys....nope the main man is now Johnny. Don't get me wrong everybody and I mean everybody is great in this flick! Right from the get-go you're laughing and believe you me don't plan on resting that smile of yours. I personally think the movie definitely has better moments than the first. You know when you go into a theater and you kind of don't want to have high expectations for it.....well this movie blows all expectations away. If you love Jackass you can go into this with gigantic expectations. No matter what you'll laugh your ass off. If you're not laughing the reason is most likely someone has a gun in your face telling you if you laugh you die or maybe you are embarrassed about the sound of your laugh or the highest probability is that you were eating Jack Sh!t for breakfast and Jack left town. All I have to say is prepare yourself to have a sore face after the movie. :),1
"Years ago I didn't love and respect the films of Jimmy Cagney nearly as much as I do now. I noticed that many of Cagney's films done with Warner Brothers in the 1930s lacked realism and his acting style was far from subtle. However the more I watched these films the more I found I was hooked despite these aspects. In fact I now kind of like and expect them! Fans of old time Hollywood films probably understand what I am saying--teens and other young whippersnappers don't! Well when it comes to entertainment THE MAYOR OF HELL never lets up from start to finish. While the idea of a shady character like Cagney played taking over running a reform school is ridiculous and while all the changes he made also seemed far-fetched it all somehow worked out and delivered solid entertainment.<br /><br />The gang of tough thugs were pre-Dead End Kids and instead of the likes of Leo Gorcey Huntz Hall and Billy Hallop similar roles are played here by Frankie Darrow and Farina. Yes I did say ""Farina"". This Black actor was already famous for his roles in the Our Gang comedies and was believe it or not one of the highest paid child actors in Hollywood. All he needed to give up in return was be named an insipid name and act like a nice stereotypical ""Negro"". Here he actually was pretty good and the usual Black stereotypes are a bit more subdued than usual. However some will cringe at the very funny but horribly offensive court scene involving Farina and his dad Fred 'Snowflake' Toones. With awful names like ""Farina"" and ""Snowflake"" don't say I didn't warn you.<br /><br />Apart from this small complaint and a plot that is tough to believe the film is exceptional and fun. The kids do a great job as does Cagney and Dudley Digges in a truly despicable but exciting role as the evil warden. Also as an added plus you get to see perennial Warner stock actor Allen Jenkins in his first role for the studio.",1
"Wow... just... wow. There are a lot of reviews on this movie already but I wanted to add some comments of my own. I agree with most reviewers who have said this movie has terrible acting writing and directing - whoo boy does it ever. However I think there is some other problems here.<br /><br />1. Why is Christian belief and the allowance for extraterrestrial life mutually exclusive? The film acts as though you just can't be a Christian and also allow for the possibility? Why? They ever-so-briefly touch on this in the film (i.e. ""The Bible doesn't say there is aliens."" ""Well the Bible doesn't say there isn't.) but the actual rebuttal is never answered. The Bible really doesn't say there isn't. So how about dealing with the question instead of dismissing it out of hand? Or better yet acknowledge that this is an infinite universe we live in and if we believe in an infinite God there is the possibility that he made some other life somewhere and has his own plans for them.<br /><br />2. How come the ONLY two explanations for the abductions that are valid are demons and hoax? What about sleep paralysis and night terrors which have been linked to abduction experiences? What if it's something else entirely? Too bad the film makers already have their minds made up.<br /><br />3. The film makers claim that all who have had abduction experiences have had ties to the occult. That's a pretty big claim to make without any factual evidence to present. I'm not necessarily arguing that they don't but if you're going to say something so asinine you'd better have the facts to back it up.<br /><br />4. Why does the other reporter (not the Greasy Haired Blonde Guy the other one) always have his hands in his pockets? It's hard to take someone seriously when they're constantly playing pocket pool.<br /><br />I WISH this had been an exploration of Christian faith and UFO phenomena but unfortunately the film makers were too concerned with their ""Faith Message"" to care much about make a thought provoking movie. As a Christian myself this saddens me.",0
